student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,math_score,science_score,english_score,overall_score,final_grade
54,19,other,private,high school,5.8,84.8,yes,<15 min,no,coaching,75.7,81.8,89.8,78.9,c
55,18,male,private,diploma,5.9,69.9,yes,>60 min,yes,textbook,50.1,86.6,69.7,67.3,d
56,14,male,public,phd,1.0,89.0,yes,<15 min,no,mixed,46.9,7.2,56.0,37.0,f
57,17,other,private,high school,1.4,58.6,yes,30-60 min,no,online videos,7.6,32.8,16.7,25.5,f
58,14,other,public,phd,2.5,56.6,yes,>60 min,yes,coaching,53.6,52.7,47.9,44.4,e
59,16,female,private,phd,5.0,85.4,yes,30-60 min,no,textbook,66.2,98.1,70.7,80.5,c
60,16,male,public,high school,7.7,74.8,yes,15-30 min,yes,notes,85.8,86.4,96.6,82.4,c
61,16,female,public,high school,2.4,82.8,yes,>60 min,yes,mixed,72.8,76.4,76.7,61.6,d
62,18,female,private,high school,5.2,52.5,yes,15-30 min,yes,textbook,56.9,83.1,61.9,64.9,d
63,16,other,private,diploma,5.9,58.5,yes,>60 min,yes,coaching,82.9,51.1,60.9,62.8,d
64,17,other,public,no formal,2.0,91.1,no,15-30 min,no,online videos,64.0,58.5,78.1,58.7,d
65,16,male,private,post graduate,5.6,72.5,no,15-30 min,no,mixed,71.8,58.5,66.9,69.9,d
66,18,other,private,phd,7.8,82.2,yes,30-60 min,no,online videos,85.5,75.6,86.4,91.1,b
67,16,female,private,high school,2.5,52.9,yes,30-60 min,yes,textbook,44.7,53.7,36.4,48.6,e
68,16,female,public,high school,3.0,53.7,yes,30-60 min,yes,coaching,47.8,35.8,38.4,45.8,e
69,17,other,private,diploma,1.5,85.0,no,15-30 min,no,online videos,58.1,71.0,55.7,51.1,e
70,19,male,private,graduate,4.1,88.6,yes,15-30 min,no,mixed,63.5,78.6,84.1,70.7,c
71,16,female,private,graduate,3.9,98.4,yes,15-30 min,yes,mixed,59.6,90.9,70.2,73.9,c
72,16,female,public,phd,5.7,61.1,yes,15-30 min,no,mixed,66.7,69.9,53.5,60.7,d
73,18,male,private,high school,6.9,74.5,yes,30-60 min,no,group study,74.1,71.5,77.5,76.4,c
74,14,female,public,phd,6.3,74.8,yes,30-60 min,no,group study,87.8,78.6,89.7,79.9,c
75,14,male,private,diploma,4.7,59.8,yes,15-30 min,no,online videos,43.0,74.5,51.9,61.6,d
76,18,female,public,high school,5.3,74.6,yes,<15 min,no,mixed,71.2,85.7,78.5,79.9,c
77,18,male,public,diploma,5.7,83.6,no,<15 min,no,notes,78.9,70.8,80.1,84.8,c
78,19,female,public,graduate,4.7,93.3,yes,30-60 min,yes,mixed,70.3,62.3,86.2,76.0,c
79,16,female,public,diploma,3.9,86.2,yes,<15 min,yes,mixed,71.3,56.8,69.7,60.9,d
80,18,other,private,graduate,2.9,59.7,no,>60 min,no,notes,36.5,42.8,44.2,48.1,e
81,19,female,public,phd,3.5,79.4,no,<15 min,yes,group study,59.0,83.5,67.6,61.9,d
82,14,female,public,diploma,0.8,67.3,yes,15-30 min,no,textbook,19.7,25.9,33.9,28.5,f
83,16,female,public,no formal,4.2,93.2,yes,>60 min,no,group study,73.6,59.2,60.4,70.2,c
84,16,female,public,high school,5.5,99.6,yes,15-30 min,no,textbook,84.4,93.5,99.8,89.7,b
85,15,female,public,high school,2.9,63.9,yes,<15 min,yes,textbook,38.4,39.4,26.9,40.5,e
86,19,female,public,post graduate,4.4,88.8,yes,<15 min,yes,coaching,80.0,70.8,78.9,71.6,c
87,14,other,private,diploma,8.0,50.2,yes,30-60 min,no,online videos,93.1,99.8,100.0,90.4,b
88,14,male,public,no formal,4.8,98.5,yes,15-30 min,no,group study,69.3,61.4,83.1,81.3,c
89,16,male,private,no formal,5.7,60.2,yes,>60 min,no,coaching,84.9,74.7,69.3,71.3,c
90,14,female,public,no formal,3.5,90.1,yes,30-60 min,yes,online videos,49.9,56.9,47.5,59.5,d
91,17,other,public,high school,5.4,69.9,yes,>60 min,no,online videos,54.9,69.5,46.2,67.1,d
92,15,female,public,phd,6.9,70.0,yes,15-30 min,yes,coaching,82.6,88.1,81.1,89.9,b
93,15,female,private,no formal,4.7,79.1,yes,30-60 min,no,online videos,78.1,74.7,48.6,65.8,d
94,16,other,private,high school,1.3,57.5,yes,30-60 min,yes,group study,41.9,40.1,45.7,38.6,f
95,14,other,public,no formal,7.5,89.9,yes,>60 min,yes,group study,91.5,88.9,89.1,100.0,a
96,18,other,private,graduate,7.3,58.8,yes,15-30 min,yes,mixed,84.1,81.9,62.2,77.9,c
97,16,other,public,post graduate,4.2,59.4,yes,15-30 min,no,coaching,64.6,65.5,51.1,61.5,d
98,16,male,public,no formal,0.8,77.1,yes,<15 min,no,online videos,41.8,37.3,61.4,46.7,e
99,19,male,private,graduate,4.1,88.6,yes,15-30 min,no,mixed,63.5,78.6,84.1,70.7,c
100,14,female,private,no formal,5.4,58.8,yes,>60 min,no,textbook,80.8,68.6,69.0,69.6,d
101,15,female,public,diploma,1.3,74.9,yes,15-30 min,no,textbook,41.9,49.8,48.0,46.4,e
102,17,male,private,high school,6.6,54.4,yes,>60 min,yes,textbook,76.6,67.9,63.9,65.5,d
103,19,other,private,phd,3.6,81.1,yes,15-30 min,no,group study,48.3,54.1,55.8,52.9,e
104,18,female,public,high school,1.6,51.4,yes,>60 min,no,group study,23.8,10.6,36.2,28.7,f
105,19,other,public,post graduate,1.1,65.3,yes,30-60 min,no,group study,43.4,41.6,32.3,33.1,f
106,14,male,public,graduate,3.6,87.9,yes,<15 min,no,online videos,53.3,52.2,42.5,54.6,e
107,18,male,private,post graduate,7.5,70.8,yes,>60 min,yes,mixed,79.3,79.0,81.6,86.7,b
108,19,male,public,phd,2.3,59.5,yes,>60 min,no,notes,29.3,51.3,69.2,46.2,e
109,18,male,private,diploma,2.1,77.5,no,15-30 min,yes,textbook,59.3,54.2,57.9,52.6,e
110,15,male,public,graduate,3.8,80.1,yes,>60 min,no,textbook,67.0,64.3,59.0,60.9,d
111,18,male,public,no formal,0.6,61.3,yes,30-60 min,yes,online videos,25.3,32.3,29.8,20.6,f
112,19,male,public,phd,3.5,72.9,yes,15-30 min,no,group study,41.9,40.0,42.8,51.9,e
113,18,male,private,graduate,7.7,66.3,yes,15-30 min,yes,textbook,89.8,82.3,77.3,80.1,c
114,14,other,private,high school,2.1,60.3,yes,15-30 min,yes,mixed,36.4,39.5,37.8,34.9,f
115,17,other,private,post graduate,2.6,92.4,yes,30-60 min,yes,mixed,37.5,51.7,56.4,56.0,d
116,15,male,public,high school,3.7,65.9,no,30-60 min,no,coaching,52.2,37.1,63.6,47.3,e
117,15,female,private,high school,1.7,94.3,yes,<15 min,no,textbook,62.0,55.3,61.5,52.0,e
118,16,other,public,diploma,6.2,73.6,yes,<15 min,no,coaching,72.8,66.4,65.1,75.2,c
119,16,other,public,diploma,5.6,79.1,yes,30-60 min,yes,mixed,88.7,76.9,76.4,85.7,b
120,14,other,public,diploma,6.0,51.0,yes,30-60 min,yes,group study,63.1,62.3,64.5,66.5,d
121,16,male,private,phd,7.9,58.1,yes,15-30 min,yes,mixed,100.0,57.2,94.1,94.0,b
122,15,other,public,high school,1.2,83.9,yes,30-60 min,yes,textbook,38.5,49.1,53.4,39.4,f
123,17,other,public,no formal,1.2,52.8,no,15-30 min,yes,coaching,38.2,33.3,43.2,39.5,f
124,16,male,public,high school,1.6,94.5,yes,30-60 min,no,online videos,70.2,49.5,56.7,45.7,e
125,14,female,public,high school,5.9,58.5,yes,>60 min,no,notes,65.4,75.9,61.7,65.9,d
126,16,male,private,no formal,1.4,57.3,yes,15-30 min,yes,mixed,34.6,36.1,50.0,38.7,f
127,19,other,private,diploma,2.6,80.8,yes,>60 min,no,coaching,66.0,67.2,58.5,56.9,d
128,18,male,public,no formal,0.6,61.3,yes,30-60 min,yes,online videos,25.3,32.3,29.8,20.6,f
129,19,female,public,high school,5.1,92.7,yes,30-60 min,no,mixed,81.0,65.9,67.9,71.9,c
130,17,other,public,high school,4.2,69.0,yes,>60 min,yes,group study,67.0,75.8,57.7,63.0,d
131,15,male,private,no formal,4.7,98.3,yes,15-30 min,yes,online videos,65.9,68.5,78.8,69.6,d
132,14,female,public,no formal,2.4,86.9,yes,>60 min,yes,notes,44.6,51.5,55.2,52.8,e
133,17,other,private,diploma,2.1,86.3,yes,30-60 min,no,textbook,64.9,69.1,51.6,58.8,d
134,16,other,public,no formal,7.7,74.9,yes,<15 min,yes,notes,87.5,92.9,100.0,86.1,b
135,19,female,private,high school,3.9,66.2,yes,>60 min,no,notes,61.9,63.9,61.1,59.7,d
136,18,female,public,phd,7.1,61.1,yes,<15 min,no,online videos,82.4,75.8,90.8,80.5,c
137,14,other,public,phd,6.6,73.4,no,30-60 min,no,online videos,91.5,84.9,84.5,85.4,b
138,19,other,private,no formal,0.9,68.8,no,<15 min,yes,notes,28.2,17.1,32.8,30.5,f
139,17,male,private,phd,2.3,87.1,yes,30-60 min,yes,online videos,37.8,57.5,34.3,47.2,e
140,18,male,private,high school,1.6,52.3,yes,15-30 min,no,coaching,7.9,34.6,26.6,31.4,f
141,16,female,private,graduate,5.1,57.2,no,15-30 min,no,notes,84.9,70.9,53.7,71.5,c
142,19,male,public,graduate,5.2,62.6,no,15-30 min,no,mixed,71.6,75.0,62.3,70.1,c
143,14,other,public,graduate,7.2,71.2,yes,>60 min,no,group study,96.9,90.5,98.6,95.7,a
144,15,female,private,no formal,2.3,84.6,no,>60 min,no,coaching,53.6,40.6,59.6,42.8,e
145,16,other,public,no formal,7.3,78.2,yes,>60 min,no,notes,84.1,97.8,84.1,89.2,b
146,18,male,private,post graduate,6.4,78.4,yes,30-60 min,yes,textbook,96.9,85.5,86.5,90.8,b
147,14,male,public,graduate,1.1,90.5,yes,30-60 min,yes,online videos,44.9,31.3,23.8,37.7,f
148,17,male,public,high school,3.7,68.6,yes,30-60 min,yes,mixed,63.1,48.8,67.1,62.6,d
149,16,female,public,post graduate,0.8,62.8,yes,30-60 min,no,mixed,33.5,39.1,22.2,32.6,f
150,19,male,public,diploma,4.7,82.7,yes,>60 min,no,textbook,73.2,64.1,68.2,74.8,c
151,15,male,public,phd,0.8,54.4,yes,>60 min,yes,mixed,27.5,0.0,27.5,27.3,f
152,18,female,public,no formal,0.7,69.9,yes,<15 min,no,notes,27.7,50.4,9.6,28.9,f
153,15,female,private,diploma,1.2,66.6,yes,30-60 min,no,textbook,28.2,46.6,45.0,45.9,e
154,19,female,public,diploma,4.3,75.7,yes,<15 min,no,coaching,50.1,44.1,61.5,56.7,d
155,18,other,public,no formal,2.4,65.2,yes,>60 min,yes,mixed,47.5,53.4,45.7,53.5,e
156,18,other,private,phd,1.3,89.3,yes,30-60 min,yes,mixed,37.4,50.7,41.2,41.6,e
157,15,male,private,graduate,2.6,71.9,yes,<15 min,no,textbook,59.8,48.0,51.7,46.0,e
158,17,other,private,post graduate,7.9,99.5,yes,30-60 min,no,online videos,91.5,91.4,96.9,100.0,a
159,18,other,private,diploma,8.0,70.0,yes,<15 min,no,online videos,92.6,100.0,100.0,100.0,a
160,18,female,private,post graduate,6.7,97.8,yes,30-60 min,yes,notes,100.0,97.9,100.0,100.0,a
161,14,other,public,post graduate,1.0,82.3,no,30-60 min,yes,textbook,26.2,20.5,21.8,34.1,f
162,15,female,private,post graduate,1.7,72.2,yes,30-60 min,yes,notes,32.8,35.2,49.0,35.2,f
163,16,male,public,graduate,3.4,78.3,yes,<15 min,yes,mixed,55.6,37.4,45.9,49.3,e
164,16,male,private,diploma,2.4,63.6,yes,30-60 min,no,mixed,55.1,40.4,47.3,40.5,e
165,14,male,public,high school,5.2,76.6,yes,<15 min,yes,online videos,58.9,72.6,73.3,67.1,d
166,19,female,private,high school,3.9,66.2,yes,>60 min,no,notes,61.9,63.9,61.1,59.7,d
167,15,male,public,diploma,1.5,71.3,yes,<15 min,yes,notes,27.0,30.2,38.5,32.5,f
168,16,female,public,post graduate,4.4,76.4,yes,>60 min,no,online videos,80.1,78.5,89.3,70.5,c
169,19,other,private,graduate,2.6,88.6,yes,<15 min,yes,textbook,49.2,78.1,76.9,63.0,d
170,14,male,public,no formal,1.6,92.3,no,30-60 min,yes,notes,59.1,64.6,40.1,58.1,d
171,15,male,public,post graduate,1.8,67.4,yes,<15 min,no,coaching,19.4,51.2,36.9,35.1,f
172,18,female,private,graduate,6.0,69.9,no,15-30 min,yes,notes,86.1,90.6,99.8,85.6,b
173,19,other,private,phd,5.3,68.5,yes,>60 min,yes,textbook,72.4,77.2,72.3,67.0,d
174,14,other,public,diploma,2.4,92.4,yes,<15 min,yes,online videos,55.5,54.1,66.9,50.4,e
175,17,male,private,no formal,7.7,65.0,yes,15-30 min,yes,coaching,95.0,100.0,100.0,91.2,b
176,14,other,public,graduate,6.7,53.4,yes,>60 min,yes,group study,85.3,76.6,75.7,73.1,c
177,17,male,public,diploma,6.3,50.5,no,<15 min,yes,textbook,61.7,63.8,65.4,62.8,d
178,15,female,private,phd,6.3,94.6,yes,<15 min,no,textbook,91.2,90.4,98.4,90.3,b
179,16,female,public,graduate,5.5,63.6,yes,15-30 min,yes,notes,75.1,77.6,60.9,71.6,c
180,19,other,private,post graduate,1.3,98.8,yes,30-60 min,no,notes,51.7,57.5,54.1,57.3,d
181,18,female,private,high school,4.3,66.9,yes,<15 min,no,online videos,45.0,60.7,54.0,55.1,d
182,19,other,public,graduate,6.5,60.9,yes,<15 min,yes,coaching,79.6,83.0,67.9,79.2,c
183,15,female,private,post graduate,2.5,86.8,yes,>60 min,yes,mixed,26.4,38.4,48.7,46.2,e
184,14,female,public,graduate,6.0,62.6,yes,>60 min,yes,notes,72.8,74.7,68.7,78.5,c
185,14,female,private,no formal,7.5,94.7,yes,<15 min,no,textbook,100.0,100.0,84.6,95.6,a
186,18,female,public,no formal,3.2,89.8,yes,15-30 min,no,group study,69.2,32.8,59.9,54.3,e
187,14,other,public,graduate,1.8,67.3,no,<15 min,yes,mixed,56.2,41.6,67.3,50.6,e
188,15,other,private,high school,4.5,59.2,yes,15-30 min,no,notes,49.1,50.8,57.9,61.1,d
189,16,female,public,no formal,5.6,87.3,yes,>60 min,no,mixed,76.0,69.4,100.0,88.2,b
190,19,female,private,high school,5.9,92.8,yes,15-30 min,yes,coaching,88.9,65.2,75.5,77.2,c
191,14,other,public,diploma,6.9,83.8,yes,<15 min,yes,notes,86.6,86.2,90.2,91.6,b
192,19,male,public,diploma,5.4,56.6,yes,30-60 min,yes,mixed,54.0,66.1,79.2,74.6,c
193,19,male,private,graduate,1.9,93.2,yes,>60 min,yes,coaching,74.3,62.5,65.3,60.3,d
194,15,male,private,diploma,1.1,63.1,no,>60 min,yes,group study,36.6,40.0,23.7,32.0,f
195,17,male,public,phd,5.5,96.7,no,30-60 min,no,notes,80.7,70.7,72.1,83.8,c
196,16,female,private,diploma,5.7,57.9,yes,<15 min,yes,mixed,63.6,56.1,73.5,71.7,c
197,19,other,public,graduate,1.1,56.3,yes,<15 min,no,online videos,27.3,36.1,15.1,34.1,f
198,19,other,public,high school,4.4,82.9,yes,15-30 min,yes,notes,92.9,80.7,75.3,73.4,c
199,15,other,public,diploma,3.6,69.8,yes,<15 min,no,online videos,64.9,55.9,63.4,58.1,d
200,18,female,private,high school,6.8,58.2,yes,>60 min,no,mixed,75.1,80.5,56.2,73.6,c
201,14,other,public,no formal,0.7,67.8,yes,>60 min,yes,notes,44.4,37.9,36.6,34.8,f
202,15,female,private,diploma,3.5,67.4,yes,<15 min,no,notes,61.6,54.5,50.9,56.7,d
203,19,male,public,no formal,2.8,68.5,no,>60 min,yes,group study,43.2,67.1,51.1,50.1,e
204,15,other,private,diploma,4.8,89.1,yes,30-60 min,no,group study,72.1,89.5,59.5,77.0,c
205,18,male,public,high school,2.1,97.3,yes,15-30 min,no,mixed,60.2,53.2,53.5,55.6,d
206,15,female,private,no formal,7.6,97.7,yes,30-60 min,no,coaching,97.7,90.2,100.0,100.0,a
207,19,female,public,high school,7.4,56.1,yes,30-60 min,no,notes,85.3,92.3,94.3,89.2,b
208,15,female,private,no formal,0.8,57.3,yes,15-30 min,no,mixed,33.1,32.6,31.0,36.8,f
209,16,male,private,no formal,6.3,54.1,no,15-30 min,no,textbook,81.5,75.0,60.8,67.1,d
210,15,male,public,high school,3.9,86.9,yes,30-60 min,no,notes,85.2,84.0,68.8,74.9,c
211,17,other,public,phd,1.7,89.2,yes,15-30 min,no,group study,52.3,51.6,67.8,52.5,e
212,19,other,private,no formal,1.5,52.4,yes,<15 min,yes,notes,44.7,21.7,25.8,27.5,f
213,17,male,private,high school,1.5,52.6,yes,<15 min,yes,coaching,26.1,36.0,22.6,27.7,f
214,18,other,private,diploma,0.8,68.0,yes,<15 min,no,group study,35.2,32.1,38.0,36.9,f
215,16,other,public,diploma,5.9,93.0,yes,<15 min,no,coaching,81.2,75.7,79.7,78.3,c
216,14,other,public,diploma,1.9,71.2,no,15-30 min,yes,group study,58.1,43.6,39.1,47.4,e
217,16,other,public,graduate,5.8,95.8,yes,>60 min,no,group study,82.2,61.3,76.1,77.3,c
218,19,other,public,no formal,1.4,95.4,yes,<15 min,yes,coaching,59.3,31.9,40.8,42.8,e
219,14,female,private,high school,0.7,80.2,yes,>60 min,yes,coaching,34.7,33.3,31.1,38.5,f
220,19,other,public,post graduate,2.1,91.6,yes,>60 min,no,coaching,62.5,43.6,45.8,48.9,e
221,18,male,private,post graduate,6.8,77.4,yes,<15 min,no,group study,78.8,94.1,93.0,86.8,b
222,16,male,private,post graduate,0.7,98.9,yes,15-30 min,no,notes,41.8,35.4,49.5,44.8,e
223,17,other,public,high school,6.5,82.5,yes,30-60 min,no,group study,95.2,80.5,90.3,93.4,b
224,18,other,public,high school,4.9,85.3,yes,<15 min,no,coaching,88.1,66.1,70.3,69.3,d
225,15,male,private,phd,4.7,84.0,yes,>60 min,yes,online videos,56.6,71.5,70.7,75.1,c
226,15,male,public,phd,4.5,94.6,yes,15-30 min,yes,notes,78.0,74.4,75.2,75.1,c
227,15,female,public,post graduate,1.9,94.1,yes,15-30 min,yes,coaching,49.8,44.6,43.8,46.8,e
228,16,female,public,graduate,5.5,54.1,yes,<15 min,yes,group study,62.2,63.8,57.7,68.5,d
229,18,male,private,diploma,3.4,65.7,no,<15 min,yes,online videos,49.2,52.0,59.3,54.7,e
230,18,other,public,no formal,7.9,84.6,yes,30-60 min,yes,notes,92.7,97.7,86.1,91.7,b
231,19,other,public,diploma,6.6,69.3,yes,<15 min,yes,coaching,85.4,69.9,75.1,71.8,c
232,16,female,public,graduate,4.4,90.1,yes,<15 min,no,online videos,64.1,73.0,80.5,64.4,d
233,19,male,public,diploma,4.0,61.4,yes,30-60 min,no,online videos,78.2,51.4,59.2,65.9,d
234,19,male,public,diploma,2.0,71.3,yes,<15 min,no,textbook,51.4,46.8,48.8,38.5,f
235,17,other,private,phd,5.4,56.3,yes,>60 min,no,textbook,56.2,71.0,47.1,60.3,d
236,16,other,private,post graduate,6.1,85.7,yes,>60 min,no,mixed,90.8,97.4,75.1,81.9,c
237,15,male,public,high school,0.9,59.1,yes,30-60 min,yes,coaching,15.7,37.5,32.7,32.1,f
238,18,male,public,post graduate,6.3,68.9,no,15-30 min,no,mixed,78.5,70.7,87.4,71.1,c
239,15,male,public,phd,2.4,79.3,no,>60 min,yes,notes,59.2,57.3,28.5,44.7,e
240,16,male,public,no formal,1.4,91.2,yes,>60 min,yes,notes,36.0,37.0,19.4,41.6,e
241,16,male,private,no formal,2.2,97.7,yes,<15 min,yes,mixed,46.3,48.5,55.3,51.2,e
242,16,male,public,graduate,5.5,77.1,yes,15-30 min,yes,notes,83.5,95.7,75.3,70.0,c
243,19,male,public,post graduate,6.5,75.8,yes,30-60 min,yes,textbook,84.0,100.0,100.0,92.0,b
244,17,male,private,phd,6.5,77.1,yes,>60 min,no,mixed,100.0,99.5,81.0,90.8,b
245,17,other,private,diploma,0.8,90.7,yes,>60 min,yes,mixed,44.6,41.0,46.8,45.6,e
246,19,female,private,graduate,3.6,70.5,yes,<15 min,no,group study,42.5,38.7,42.9,49.7,e
247,16,other,private,phd,6.9,76.2,yes,30-60 min,no,group study,81.6,83.9,84.5,81.9,c
248,14,other,private,diploma,7.2,70.1,yes,>60 min,no,notes,71.4,92.5,84.4,83.6,c
249,18,male,private,post graduate,7.3,67.3,yes,15-30 min,no,group study,71.8,71.9,65.2,75.5,c
250,15,other,private,high school,4.3,84.0,yes,30-60 min,yes,group study,85.8,42.6,67.0,58.1,d
251,19,other,private,post graduate,6.0,81.6,yes,>60 min,yes,coaching,83.5,67.6,85.3,81.4,c
252,14,male,public,diploma,2.4,61.9,yes,30-60 min,no,coaching,59.1,32.9,36.1,38.0,f
253,19,other,private,no formal,6.6,57.5,yes,15-30 min,no,notes,62.1,55.5,86.0,67.9,d
254,15,male,public,high school,1.3,69.4,yes,15-30 min,yes,group study,43.9,29.5,57.7,29.9,f
255,19,female,public,no formal,5.8,87.1,no,30-60 min,yes,online videos,70.7,70.0,83.3,88.4,b
256,19,male,public,phd,7.9,94.7,yes,<15 min,no,group study,100.0,94.5,87.4,100.0,a
257,17,male,public,high school,6.4,75.0,yes,15-30 min,yes,group study,82.1,67.5,80.9,76.2,c
258,17,other,public,post graduate,5.1,90.9,yes,>60 min,yes,online videos,64.2,59.1,83.3,67.4,d
259,18,female,private,phd,7.7,51.2,yes,15-30 min,no,online videos,84.9,95.2,82.1,81.3,c
260,16,other,private,no formal,7.1,66.9,yes,30-60 min,no,mixed,94.9,90.7,83.3,81.1,c
261,19,male,private,high school,2.4,77.4,yes,>60 min,no,group study,41.2,37.5,56.0,45.0,e
262,16,male,public,phd,2.0,62.7,no,>60 min,no,coaching,14.0,44.3,61.4,45.1,e
263,17,other,public,diploma,6.1,71.6,yes,30-60 min,yes,group study,64.2,64.3,86.1,74.3,c
264,18,other,private,post graduate,5.2,59.8,yes,<15 min,yes,textbook,42.9,89.9,63.4,75.4,c
